"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D7,D6,D5,D4,D3";"D_TVS_SMF3.3";5;"SMF3.3";;;
2;"CONN2";"SHDR16W66P254_2X8";1;"5103308-3";;;
3;"SW4,SW3,SW2,SW1";"SW_SPST_TC013";4;"SW_SPST_LED";;;
4;"R23,R21,R19,R8,R7,R22,R20,R18,R15,R13,R11,R10,R1,R2,R3,R4,R5,R6,R9,R12,R14,R16,R17";"RES_SMD_0805";23;"RES_SMD_0805";;;
5;"C5,C4,C2,C1,C3";"CAP_SMD_0805";5;"0.1uF";;;
6;"CONN1";"JST_B4B-PH-SM4-TB";1;"B4B-PH-SM4-TB(LF)(SN)";;;
7;"BUZZ1";"Buzzer_PS1927P02";1;"BUZZER";;;
8;"BUZZ2";"Buzzer-MSS5MMG";1;"BUZZER-MALLORY";;;
9;"CONN3";"JST_B2B-PH-SM4-TB";1;"B2B-PH-SM4-TB(LF)(SN)";;;
10;"D1,D2";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4001";;;
11;"Q1,Q2,Q3";"SOT-23";3;"DMN10H220L";;;
12;"Q4";"TO-92_Inline";1;"2SC1815";;;
13;"Q5,Q6,Q7";"SOT-23";3;"2N7002E";;;
